ID,Type,Category,Sample Question,Keywords,Answer,Confidence,Parent ID
qa-001,Main,Claims Processing,How do I file a claim?,"fnol, first notice, loss, report claim, file claim, new claim, start claim, how to claim, initiate claim, submit claim, make a claim, open claim","To file a First Notice of Loss (FNOL), follow these steps: 1) Contact your insurance provider within 30 days of the incident (72 hours for catastrophic events). 2) Provide required information: policyholder name, policy number, date/time of incident, location, and description of loss. 3) Document the damage with photographs and written descriptions. 4) Obtain a claim reference number from the representative. 5) Follow up with any additional documentation requested. The FNOL can be submitted via Phone (1-800-555-CLAIM), Online portal, Mobile app, or Through an authorized agent. Processing typically begins within 24-48 hours of submission.",96,
qa-002,Main,Policy Coverage,How do deductibles work?,"deductible, out of pocket, pay before, how much pay, deductible amount, what is deductible, deductible work, deductible mean","A deductible is the amount you pay out-of-pocket before your insurance coverage applies. Types of Deductibles: Fixed Dollar Deductible (a set amount per claim e.g. $500 $1000 $2500), Percentage Deductible (calculated as a percentage of insured value typically 1-5% common for wind/hail damage), Annual Aggregate Deductible (once your total deductibles in a year reach the aggregate amount the insurer covers all remaining claims in full). Key Points: Higher deductibles = lower premium costs but more out-of-pocket during a claim. The deductible is subtracted from your claim payment. Different coverage types may have different deductible amounts. Review your policy declarations page for your specific deductible amounts.",94,
qa-003,Main,Policy Coverage,What does my policy cover?,"coverage, what is covered, types of coverage, policy cover, insurance cover, what does my policy, dwelling, personal property, liability","Standard insurance policies include several types of coverage: Dwelling Coverage (A) protects the physical structure of your insured property. Personal Property Coverage (B) covers your belongings within the property. Liability Coverage (C) protects against lawsuits for bodily injury or property damage you cause. Additional Living Expenses (D) covers temporary housing if your property becomes uninhabitable. Each coverage type has specific limits and deductibles outlined in your policy declarations page. You can often adjust these limits based on your needs and budget. Note: Some perils require additional endorsements (e.g. flood earthquake).",92,
qa-004,Main,Policy Coverage,What exclusions does my policy have?,"exclusion, not covered, excluded, what isn't covered, what is not covered, limitation, doesn't cover, won't cover","Standard policies typically exclude the following: Flood damage (requires separate flood insurance), Earthquake damage (available as an endorsement), Intentional damage by the policyholder, Normal wear and tear, Pest infestations (termites rodents etc.), Nuclear hazards, Acts of war, Government actions, Business-related losses (requires commercial coverage). It is strongly recommended that policyholders review exclusions carefully and consider additional endorsements for comprehensive protection. Speak with your agent about coverage gaps specific to your situation.",91,
qa-005,Main,Claims Processing,How long does a claim take?,"claim status, how long, timeline, when will, claim take, processing time, waiting, update on claim, claim progress","Claims processing timelines vary by complexity: Simple Property Claims take 5-10 business days, Auto Claims take 10-15 business days, Complex Liability Claims take 30-60 business days. Regulatory Requirements: Acknowledgment of claim within 15 days of receipt. Decision on claim within 30 days of receiving all documentation. Payment within 30 days of claim approval. An adjuster is assigned within 24 hours of FNOL and will make initial contact within 48 hours. You can check your claim status through the online portal or by contacting your assigned adjuster directly.",93,
qa-006,Main,Claims Processing,What if my claim is denied?,"appeal, dispute, denied, deny, rejected, disagree, overturn, challenge, fight, unfair","If your claim has been denied you have several options. Internal Appeals Process: 1) Submit a written appeal within 60 days of the claim decision. 2) Include additional documentation or evidence supporting your case. 3) A senior adjuster (not involved in the original decision) reviews the appeal. 4) Response within 30 days of receiving the appeal. If Internal Appeal is Denied: Pursue external arbitration. File a complaint with your state Department of Insurance. Request an independent appraisal for property damage disputes. A written explanation of any denial must include the specific policy provisions relied upon and you must be informed of your right to appeal.",95,
qa-007,Main,Fraud Detection,What are insurance fraud red flags?,"fraud, suspicious, red flag, fake claim, fraudulent, scam, dishonest","Insurance fraud red flags include: Claims filed shortly after policy inception or coverage increase. Multiple claims in a short period. Claimant is overly pushy about quick settlement. Inconsistent or changing account of events. Injuries inconsistent with the described accident. Claimant has financial difficulties. Witnesses are friends or family members. Damage pattern inconsistent with described incident. Reluctance to provide recorded statements. When two or more red flags are present the case is referred to the Special Investigations Unit (SIU). Confirmed fraud cases are reported to the National Insurance Crime Bureau (NICB) and criminal prosecution may be pursued for claims exceeding $5000.",90,
qa-008,Main,Subrogation,What is subrogation?,"subrogation, recovery, third party, someone else fault, other driver, at fault, reimbursement, get money back, deductible back","Subrogation is the process where your insurance company seeks reimbursement from a responsible third party after paying your claim. How It Works: 1) Your insurer pays your claim. 2) The insurer determines a third party is at fault. 3) The insurer pursues the third party (or their insurer) for recovery. 4) Recovery amounts are split: insurer gets the claim amount you may get your deductible back. Key Points: Subrogation rights are established in your policy contract. You should not sign any releases with the at-fault party without consulting your insurer. Successful subrogation can result in your deductible being refunded. The process can take several months depending on complexity.",88,
qa-009,Main,Auto Claims,How do I file an auto claim?,"auto claim, car accident, vehicle claim, car claim, auto accident, car crash, fender bender, collision claim","To file an auto insurance claim after an accident: 1) Ensure safety and call emergency services if needed. 2) Document the scene with photographs from multiple angles. 3) Exchange information with other drivers (name insurance license plate drivers license). 4) Obtain a police report number if officers respond. 5) Contact your insurance provider within 24 hours. 6) Provide documentation: VIN drivers license description of how the accident occurred. Additional Info: Rental car coverage activates automatically if included in your policy. Total loss is typically declared when repair costs exceed 70-75% of the vehicles actual cash value (ACV). Gap insurance covers the difference between ACV and any outstanding loan balance. Auto claims typically take 10-15 business days to process.",95,
qa-010,Main,Auto Claims,What happens if my car is totaled?,"total loss, totaled, car totaled, write off, total loss car, vehicle total loss","A vehicle is declared a total loss when repair costs exceed 70-75% of its Actual Cash Value (ACV). Total Loss Process: 1) Licensed adjuster performs a visual inspection. 2) Repair estimate obtained from an approved body shop. 3) Repair cost compared to the vehicles ACV. 4) If total loss is declared insurer pays ACV minus your deductible. Your Options: Accept the settlement (receive ACV minus deductible insurer takes the vehicle). Retain the salvage (accept a reduced settlement and keep the vehicle). Dispute the value (request an independent appraisal if you disagree with the ACV). Gap insurance is important here — it covers the difference between the ACV payout and any remaining loan/lease balance.",93,
