Scenario,Flow,Voice Prompt #,What to Say (User Input),Bot/Agent Response That Follows,Entity Extraction Notes
Freeform Start,Any,1st (opening),"I need to block my credit card right away. I think someone's been using it without my permission.",Intent detected → Block My Credit Card,Keywords: block / credit card / stolen / freeze
Freeform Start,Any,1st (opening),"Yeah I need to check the balance on my auto loan. I want to see how much I still owe.",Intent detected → Check Loan Balance,Keywords: loan / balance / auto loan / how much
Freeform Start,Any,1st (opening),"I need to dispute a charge on my account. There's a transaction I definitely didn't make.",Intent detected → Dispute a Transaction,Keywords: dispute / charge / transaction / fraudulent
Freeform Start,Any,1st (opening),"I have a complicated situation. My wife and I are going through a divorce and I need to separate our joint accounts.",Intent detected → Account Restructuring,Keywords: joint account / separate / divorce
Freeform Start,Any,1st (opening),"I'm locked out of my online banking. I've tried my password a few times and now the account is blocked.",Intent detected → Reset Online Banking Password,Keywords: password / reset / locked out / online banking
Freeform Start,Any,1st (opening),"I just received my new credit card in the mail and I need to activate it.",Intent detected → Activate New Card,Keywords: activate / new card / received
Freeform Start,Any,1st (opening),"I need to transfer some money from my checking account to my savings.",Intent detected → Transfer Between Accounts,Keywords: transfer / move money / checking / savings
Freeform Start,Any,1st (opening),"I'd like to request a credit limit increase on my Visa card.",Intent detected → Credit Limit Increase,Keywords: credit limit / increase / higher limit
Freeform Start,Any,1st (opening),"I've been seeing that mortgage rates have come down and I'm wondering if I can renegotiate my rate.",Intent detected → Mortgage Rate Renegotiation,Keywords: mortgage / rate / refinance / renegotiate
Freeform Start,Any,1st (opening),"I need to send a wire transfer to India. It's $12,000 to my parents' bank account.",Intent detected → International Wire Transfer,Keywords: wire / wire transfer / international / overseas
Block My Credit Card,Bot Resolves,1st,"Hi I need to block my credit card right away. I think someone's been using it without my permission.","Bot: I'm sorry to hear that. I can help you block your credit card immediately. For security, can you confirm the last four digits of the card you'd like to block?",
Block My Credit Card,Bot Resolves,2nd,It ends in 4829.,"Bot: Thank you, Varun. I can see your Visa card ending in [4829] on your account. I'm blocking this card now. Done — your card ending in [4829] has been blocked effective immediately...",Say any 4-digit number (e.g. 5531) → bot echoes it back
Block My Credit Card,Bot Resolves,3rd,"No that's everything. Thank you for the quick help.","Bot: You're welcome, Varun. Your account security is our priority. Have a great day!",
Check Loan Balance,Bot Resolves,1st,"Yeah I need to check the balance on my auto loan. I want to see how much I still owe.","Bot: Of course! I can look that up for you. Here's your auto loan summary: Loan Account ***7712, Current Balance $14,230.67, Monthly Payment $485.00...",
Check Loan Balance,Bot Resolves,2nd,What happens if I want to pay it off early? Are there any penalties?,"Bot: Great question. Your auto loan does not have a prepayment penalty. The current payoff amount as of today is $14,188.42...",
Check Loan Balance,Bot Resolves,3rd,"No I just wanted to know my options. Thanks a lot.","Bot: Anytime, Varun. If you decide to make extra payments in the future, just give us a call. Have a wonderful day!",
Dispute a Transaction,Agent Escalation,1st,"I need to dispute a charge on my account. There's a transaction from two weeks ago that I definitely didn't make and it looks like it was at a store in a city I've never been to.","Bot: I'm sorry to hear about that, Varun. Could you tell me the approximate amount or the merchant name so I can identify the specific charge?",
